date,igae,pi_core_gap,pi_inpp_gap,dep_tcr,i_gap,m2_gap,y_us_gap,pi_us,pi_crb,t
01jan2001,2.45129755757918,1.98592298503286,4.4962531735565,43.0098602593315,13.288127622701,7.08289959139645,3.59266211584481,5.79521269732588,-135.65272148738,2001m1
01feb2001,1.48271754222378,1.22913244660587,-5.30829622091034,-5.21687400306732,12.4499849423922,15.964846803735,2.7976253215507,1.85624786980512,-135.19437601131,2001m2
01mar2001,1.11407109080373,1.29122726973151,3.25118124548315,-22.3625858454113,10.9448269386035,9.4487047861486,2.45079614401114,.11192314618782,42.4141375185826,2001m3
01apr2001,.75310905396001,.860217964097991,-.951290155452718,-40.6154223767224,10.1461288038086,10.2118297933171,1.94949304583014,2.10859867090001,115.376229664549,2001m4
01may2001,.45764410264651,.7674941793075259,-1.59511187236721,-26.5885892386237,7.17935576730746,10.5145968659585,1.32894828915076,3.15596707159109,-38.948253396153,2001m5
01jun2001,.404889870317844,.772273728962304,-2.08220167667553,-12.3183737621556,4.69696642091605,8.78191581880691,.657485111509271,2.11526664579971,-107.350371552019,2001m6
01jul2001,.075941326846728,-.413768729033437,-6.08885426984335,7.05237217795229,4.6884134344272,9.088275853772441,-.127356024187897,-.397322053016325,-45.203646022043,2001m7
01aug2001,.483277472124286,-.14972858183001,.787000589170106,-3.86629275716999,2.84814351873153,17.7803946866241,-.38498139993326,-.143068149622749,7.13588821598954,2001m8
01sep2001,.205941532638112,.990309418279361,5.36038747152068,26.8326031360296,4.69810657737964,7.71834948257242,-1.03606863568544,-4.09260503786051,-12.6789937233774,2001m9
01oct2001,-1.06311092320775,-.337766622478113,2.09480052339983,-12.6182970228658,3.77875366923497,9.021669262492569,-1.4545030672541,4.21977756871321,157.6116434342,2001m10
01nov2001,-.810487501892224,-.324391429968258,-1.84310323133766,-26.3186773735338,2.88252821188514,10.5787776158793,-2.20566105324211,-.810955885448905,-64.7535020608192,2001m11
01dec2001,-1.15240478958569,-.8209783364604351,-3.82336512032106,-11.0887626865839,1.77887622914141,6.63787518973552,-2.3937989202051,-1.2413464940817,-6.71814471860834,2001m12
01jan2002,-2.51932830339172,-.249210785135824,4.97121993903793,-14.6303686415052,2.50474624783537,1.05048274064163,-1.87671262953346,1.08227125125921,167.76925813985,2002m1
01feb2002,-2.7466855297131,1.26877925766613,-4.15942177512361,-6.51332306556327,3.47459312950792,7.46288971147257,-2.01228358972525,2.0186905793171,40.5990995845517,2002m2
01mar2002,-2.04548246043318,-.475681353217044,.842260401541634,-3.41387734162453,2.8353736586228,7.65248233302827,-1.43904243067077,3.25136828986778,251.123594734975,2002m3
01apr2002,-1.41738114823888,-.161567873101913,1.79003314154133,8.17108457923119,1.40053482968023,4.27754677567246,-1.1008429266238,5.01044569257623,122.290190829739,2002m4
01may2002,-1.46660597533532,-.9075438554763,1.80221660006893,49.0958313972541,2.27852730756127,1.03634414103556,-.84968821086715,.788384497183259,-155.021328288752,2002m5
01jun2002,-1.6790375374179,-1.12373340205678,2.49171199356077,28.4592400555102,3.00130300381275,9.369996837111151,-.178892158877808,1.49650506743768,-210.055380442652,2002m6
01jul2002,-1.4225123041078,-.463508598143179,-.318458365811267,9.052851668268859,3.11432083263465,1.90787313426831,-.362676601140155,2.64189127663208,4.47973033707818,2002m7
01aug2002,-.738840380314393,.184190199003425,-.311938389174599,-2.24087870953689,2.45354837900935,.245895315400163,-.626243224106027,2.35392657998723,-22.4174731805459,2002m8
01sep2002,-1.12163982307569,.402172775516915,2.26444018112305,18.9347090631188,3.14295680437446,6.64586684678484,-.694673104562593,2.16154185735675,-18.4111792506357,2002m9
01oct2002,-.780400825937985,-.29369966315252,1.30526957501995,-1.26068612718093,3.49151584894692,4.68830893226559,-1.05726972296543,2.18889716852928,194.627788358327,2002m10
01nov2002,-1.52142249354972,-.613931190694302,4.44338354514864,9.31832574240801,3.15819214975872,8.689695240248611,-.6535127454901259,1.18658852484543,-91.2379692607622,2002m11
01dec2002,-1.60346419577364,-.946612284279725,-.355622087176345,-3.25887948287935,2.77195461004303,11.5030273351946,-1.36682495539429,1.15423618746355,16.5251627308045,2002m12
01jan2003,-1.78884989376905,-.234578556767535,.156803253268083,51.1027915703835,4.18777687015621,7.28198930660447,-.674638924844473,3.5804193336574,-222.562794467128,2003m1
01feb2003,-1.33346558278385,-.455326778780524,4.17375452170537,44.1334634238085,4.98913987456192,6.96416484562837,-.712902082902911,5.04114438411172,110.109302786424,2003m2
01mar2003,-2.20396688858397,-.0213979647919453,5.23055017364904,1.31102111635713,5.14502637774336,5.04416470133908,-1.13369561996404,3.07631037201439,-87.5124941133858,2003m3
01apr2003,-2.2230793501723,.0198349567702829,-3.49518766165043,-34.7207138310928,3.85942264750785,4.19111516044762,-1.88928964626625,-2.03968681204074,-96.64255067622921,2003m4
01may2003,-2.65780966907332,.302717412157617,-7.0694508224828,-29.4108763088122,1.26631511677028,15.3676851767936,-2.07514237183322,-1.37720280498677,29.867314537994,2003m5
01jun2003,-1.97727207545631,-1.19475623721113,-1.26896788988487,29.3393253595038,1.23919006539823,2.44705041068082,-2.10636958640098,1.29987375050113,35.9306282913114,2003m6
01jul2003,-2.0963135739231,-.429798880829111,-3.17672275727073,-10.8104361644482,.640031437476553,14.6170804640422,-1.75305422454475,3.52114741331278,-17.4168616478454,2003m7
01aug2003,-3.17445440173479,.768342423857554,.307561612134727,29.7826081658631,.534332395888471,6.20045444620776,-2.13080705861843,4.04888289436016,21.4897970658317,2003m8
01sep2003,-3.03116352309255,-1.11460624380454,2.94611735457929,23.3947232954886,.839089419866375,7.90971997639881,-1.64747362409239,3.74420068214931,-7.07433475487527,2003m9
01oct2003,-2.76346282182013,-.368082408790423,1.59253900037109,30.9697977239914,1.23929306007472,5.36180357591261,-1.68358375087649,.153201920339185,56.8961093822054,2003m10
01nov2003,-2.73045468513732,.306759481040648,3.77815961247979,-17.5353029617167,1.13294246753477,10.6336727679153,-1.17421108685942,1.51564463742737,-6.51497142354565,2003m11
01dec2003,-1.69403554001626,.0108968927215036,2.51111941771659,17.5410315552746,2.21953963340972,10.620554438578,-1.30301744382111,2.64396395733009,58.2828797670331,2003m12
01jan2004,-1.38122370729232,-.447475813270096,1.78992764197072,-32.4886922732997,1.1275841818916,3.77928063621666,-1.30868482127289,4.63197497292676,39.2192200196408,2004m1
01feb2004,-1.22930779481631,-.292971412348728,9.1974789822162,5.33390002296379,1.75957565309129,.315750329673938,-.864117815470156,2.55212583379638,-1.63531373361607,2004m2
01mar2004,-.18686719853606,-.148930030774104,6.20415347725324,-2.90699450982821,2.48051703986535,13.3909629224169,-1.42078507964731,1.84993339475454,50.9555531400373,2004m3
01apr2004,-.675703411874243,.278951979656521,7.109628251029,28.4036499652043,2.1954135956521,8.641523305270169,-1.20454271640726,2.22523637514058,16.8680744945664,2004m4
01may2004,-.66916969340441,.0703948631073485,-.607534960633626,29.9169816865533,2.81927172304141,-1.99960595505683,-.637767913119625,3.89556806408891,51.3926043493523,2004m5
